Start,Finish,Task,Seconds
2025-03-04 03:55:50,2025-03-04 04:02:09,PI31 FIRE PANEL FAULT,379
2025-03-04 03:55:48,2025-03-04 04:02:07,MFIP COMMON FAULT,379
2025-03-04 03:52:19,2025-03-04 03:55:35,MFIP COMMON FAULT,196
2025-03-04 03:52:22,2025-03-04 03:55:24,PI31 FIRE PANEL FAULT,182
2025-03-04 03:38:14,2025-03-04 03:38:40,PI31 FIRE PANEL FAULT,26
2025-03-04 03:38:11,2025-03-04 03:38:37,MFIP COMMON FAULT,26
2025-03-04 03:30:34,2025-03-04 03:34:42,MFIP COMMON FAULT,248
2025-03-04 03:30:37,2025-03-04 03:34:32,PI31 FIRE PANEL FAULT,235
2025-03-03 23:17:59,2025-03-04 03:27:34,PI31 FIRE PANEL FAULT,14975
2025-03-03 23:17:57,2025-03-04 03:27:31,MFIP COMMON FAULT,14974
2025-03-03 21:48:52,2025-03-03 23:15:49,PI31 FIRE PANEL FAULT,5217
2025-03-03 21:48:36,2025-03-03 23:15:46,MFIP COMMON FAULT,5230
2025-03-03 21:46:02,2025-03-03 21:48:26,PI31 FIRE PANEL FAULT,144
2025-03-03 21:46:00,2025-03-03 21:48:23,MFIP COMMON FAULT,143
2025-03-03 21:41:01,2025-03-03 21:43:25,PI31 FIRE PANEL FAULT,144
2025-03-03 21:40:59,2025-03-03 21:43:23,MFIP COMMON FAULT,144
2025-03-03 20:52:26,2025-03-03 20:52:39,MFIP COMMON FAULT,13
2025-03-03 19:33:44,2025-03-03 19:39:37,MFIP COMMON FAULT,353
2025-03-03 19:33:35,2025-03-03 19:39:28,PI09 FIRE PANEL FAULT,353
2025-03-03 19:00:01,2025-03-03 19:00:14,PI09 FIRE PANEL FAULT,13
2025-03-03 18:41:29,2025-03-03 18:41:42,PI09 FIRE PANEL FAULT,13
2025-03-03 18:41:25,2025-03-03 18:41:38,MFIP COMMON FAULT,13
2025-03-03 15:46:00,2025-03-03 15:46:39,MFIP COMMON FAULT,39
2025-03-03 15:46:04,2025-03-03 15:46:30,PI09 FIRE PANEL FAULT,26
2025-03-03 14:52:51,2025-03-03 14:53:04,MFIP COMMON FAULT,13
2025-03-03 13:46:57,2025-03-03 14:36:17,PI09 FIRE PANEL FAULT,2960
2025-03-03 13:46:53,2025-03-03 14:36:13,MFIP COMMON FAULT,2960
2025-03-02 20:27:19,2025-03-02 20:55:03,MFIP COMMON FAULT,1664
2025-03-02 20:27:23,2025-03-02 20:54:54,PI09 FIRE PANEL FAULT,1651
2025-03-02 20:21:56,2025-03-02 20:23:02,PI09 FIRE PANEL FAULT,66
2025-03-02 20:21:52,2025-03-02 20:22:57,MFIP COMMON FAULT,65
2025-03-02 20:13:34,2025-03-02 20:18:09,MFIP COMMON FAULT,275
2025-03-02 20:13:25,2025-03-02 20:18:00,PI09 FIRE PANEL FAULT,275
2025-03-02 20:10:21,2025-03-02 20:10:34,PI09 FIRE PANEL FAULT,13
2025-03-02 20:10:17,2025-03-02 20:10:30,MFIP COMMON FAULT,13
