10.249.38.116,CBS208PPOSW11
10.249.38.117,CBS208PPOSW12
10.249.38.118,CBS208PPOSW13
10.249.38.119,CBS208PPOSW14
10.249.38.126,CBS208PPOSW21
10.249.38.127,CBS208PPOSW22
10.249.38.128,CBS208PPOSW23
10.249.38.129,CBS208PPOSW24
10.249.38.136,CBS208PPOSW31
10.249.38.138,CBS208PPOSW32
10.249.38.138,CBS208PPOSW33
10.249.38.139,CBS208PPOSW34
10.249.38.146,CBS208PPOSW41
10.249.38.147,CBS208PPOSW42
10.249.38.148,CBS208PPOSW43
10.249.38.149,CBS208PPOSW44
10.249.38.156,CBS208PPOSW51
10.249.38.157,CBS208PPOSW52
10.249.38.158,CBS208PPOSW53
10.249.38.159,CBS208PPOSW54
10.249.38.166,CBS208PPOSW61
10.249.38.167,CBS208PPOSW62
10.249.38.168,CBS208PPOSW63
10.249.38.169,CBS208PPOSW64
10.249.38.176,CBS208PPOSW71
10.249.38.177,CBS208PPOSW72
10.249.38.178,CBS208PPOSW73
10.249.38.179,CBS208PPOSW74
10.249.38.186,CBS208PPOSW81
10.249.38.187,CBS208PPOSW82
10.249.38.188,CBS208PPOSW83
10.249.38.189,CBS208PPOSW84
